,Country,City,Temparature-in-Celcius,Extraction-Datetime
154,Singapore,Singapore,32,2023-08-05 15:13:52.259453
155,Slovakia,Bratislava,21,2023-08-05 15:13:52.259453
156,Slovenia,Ljubljana,16,2023-08-05 15:13:52.259453
157,Solomon Islands,Gizo,25,2023-08-05 15:13:52.259453
158,Solomon Islands,Honiara,28,2023-08-05 15:13:52.259453
159,South Africa,Pretoria,17,2023-08-05 15:13:52.259453
160,South Korea,Seoul,31,2023-08-05 15:13:52.259453
161,Spain,Madrid,20,2023-08-05 15:13:52.259453
162,Sri Lanka,Sri Jayawardenepura Kotte,30,2023-08-05 15:13:52.259453
163,Sweden,Stockholm,19,2023-08-05 15:13:52.259453
164,Switzerland,Bern,19,2023-08-05 15:13:52.259453
165,Syria,Damascus,34,2023-08-05 15:13:52.259453
166,Taiwan,Taipei,32,2023-08-05 15:13:52.259453
167,Tajikistan,Dushanbe,37,2023-08-05 15:13:52.259453
168,Tanzania,Dodoma,22,2023-08-05 15:13:52.259453
169,Thailand,Bangkok,33,2023-08-05 15:13:52.259453
170,Togo,Lomé,26,2023-08-05 15:13:52.259453
171,Tonga,Nuku'alofa,17,2023-08-05 15:13:52.259453
172,Trinidad and Tobago,Port of Spain,26,2023-08-05 15:13:52.259453
173,Tunisia,Tunis,28,2023-08-05 15:13:52.259453
174,Turkey,Ankara,31,2023-08-05 15:13:52.259453
175,Turkmenistan,Ashgabat,37,2023-08-05 15:13:52.259453
176,Tuvalu,Funafuti,29,2023-08-05 15:13:52.259453
177,Uganda,Kampala,21,2023-08-05 15:13:52.259453
178,Ukraine,Kyiv,30,2023-08-05 15:13:52.259453
179,United Arab Emirates,Abu Dhabi,42,2023-08-05 15:13:52.259453
180,United Kingdom,London,13,2023-08-05 15:13:52.259453
181,Uruguay,Montevideo,4,2023-08-05 15:13:52.260453
182,USA,Washington DC,22,2023-08-05 15:13:52.260453
183,Uzbekistan,Tashkent,36,2023-08-05 15:13:52.260453
184,Vanuatu,Port Vila,21,2023-08-05 15:13:52.260453
185,Vatican City State,Vatican City,23,2023-08-05 15:13:52.260453
186,Venezuela,Caracas,26,2023-08-05 15:13:52.260453
187,Vietnam,Hanoi,30,2023-08-05 15:13:52.260453
188,Zambia,Lusaka,20,2023-08-05 15:13:52.260453
189,Zimbabwe,Harare,18,2023-08-05 15:13:52.260453
